"RIX","alias","ID","day","isotype","virus","antigen","halfmax","last_positive"
"CC002xCC011","X15156x3252","116","D7","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","116","D7","IgM","SARS","S",3000,30000
"CC002xCC011","X15156x3252","116","D7","TotalG","SARS","N",NA,1000
"CC002xCC011","X15156x3252","116","D7","TotalG","SARS","S",1000,1e+05
"CC002xCC011","X15156x3252","117","D7","IgG1","SARS","N",NA,100
"CC002xCC011","X15156x3252","117","D7","IgG1","SARS","S",NA,NA
"CC002xCC011","X15156x3252","117","D7","IgG2ac","SARS","N",NA,NA
"CC002xCC011","X15156x3252","117","D7","IgG2ac","SARS","S",100,3000
"CC002xCC011","X15156x3252","117","D7","IgG2b","SARS","N",NA,NA
"CC002xCC011","X15156x3252","117","D7","IgG2b","SARS","S",NA,1000
"CC002xCC011","X15156x3252","117","D7","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","117","D7","IgG3","SARS","S",NA,300
"CC002xCC011","X15156x3252","117","D7","IgM","SARS","N",NA,NA
"CC002xCC011","X15156x3252","117","D7","IgM","SARS","S",1000,10000
"CC002xCC011","X15156x3252","117","D7","TotalG","SARS","N",NA,300
"CC002xCC011","X15156x3252","117","D7","TotalG","SARS","S",1000,30000
"CC002xCC011","X15156x3252","118","D15","IgG1","SARS","N",300,30000
"CC002xCC011","X15156x3252","118","D15","IgG1","SARS","S",300,3000
"CC002xCC011","X15156x3252","118","D15","IgG2ac","SARS","N",NA,1000
"CC002xCC011","X15156x3252","118","D15","IgG2ac","SARS","S",10000,1e+05
"CC002xCC011","X15156x3252","118","D15","IgG2b","SARS","N",100,3000
"CC002xCC011","X15156x3252","118","D15","IgG2b","SARS","S",3000,30000
"CC002xCC011","X15156x3252","118","D15","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","118","D15","IgG3","SARS","S",300,10000
"CC002xCC011","X15156x3252","118","D15","IgM","SARS","N",NA,NA
"CC002xCC011","X15156x3252","118","D15","IgM","SARS","S",100,3000
"CC002xCC011","X15156x3252","118","D15","TotalG","SARS","N",3000,1e+05
"CC002xCC011","X15156x3252","118","D15","TotalG","SARS","S",10000,3e+06
"CC002xCC011","X15156x3252","132","D7","IgG1","SARS","N",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgG1","SARS","S",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgG2ac","SARS","N",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgG2ac","SARS","S",NA,3000
"CC002xCC011","X15156x3252","132","D7","IgG2b","SARS","N",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgG2b","SARS","S",100,1000
"CC002xCC011","X15156x3252","132","D7","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgG3","SARS","S",NA,300
"CC002xCC011","X15156x3252","132","D7","IgM","SARS","N",NA,NA
"CC002xCC011","X15156x3252","132","D7","IgM","SARS","S",1000,10000
"CC002xCC011","X15156x3252","132","D7","TotalG","SARS","N",NA,300
"CC002xCC011","X15156x3252","132","D7","TotalG","SARS","S",1000,10000
"CC002xCC011","X15156x3252","133","D15","IgG1","SARS","N",100,3000
"CC002xCC011","X15156x3252","133","D15","IgG1","SARS","S",300,10000
"CC002xCC011","X15156x3252","133","D15","IgG2ac","SARS","N",NA,1000
"CC002xCC011","X15156x3252","133","D15","IgG2ac","SARS","S",3000,1e+05
"CC002xCC011","X15156x3252","133","D15","IgG2b","SARS","N",NA,1000
"CC002xCC011","X15156x3252","133","D15","IgG2b","SARS","S",3000,30000
"CC002xCC011","X15156x3252","133","D15","IgG3","SARS","N",NA,100
"CC002xCC011","X15156x3252","133","D15","IgG3","SARS","S",300,3000
"CC002xCC011","X15156x3252","133","D15","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","133","D15","IgM","SARS","S",100,3000
"CC002xCC011","X15156x3252","133","D15","TotalG","SARS","N",1000,10000
"CC002xCC011","X15156x3252","133","D15","TotalG","SARS","S",30000,3e+06
"CC002xCC011","X15156x3252","96","DRECHAL","IgG1","SARS","N",300,10000
"CC002xCC011","X15156x3252","96","DRECHAL","IgG1","SARS","S",10000,1e+05
"CC002xCC011","X15156x3252","96","DRECHAL","IgG2ac","SARS","N",NA,3000
"CC002xCC011","X15156x3252","96","DRECHAL","IgG2ac","SARS","S",3000,3e+05
"CC002xCC011","X15156x3252","96","DRECHAL","IgG2b","SARS","N",300,3000
"CC002xCC011","X15156x3252","96","DRECHAL","IgG2b","SARS","S",10000,1e+05
"CC002xCC011","X15156x3252","96","DRECHAL","IgG3","SARS","N",NA,300
"CC002xCC011","X15156x3252","96","DRECHAL","IgG3","SARS","S",1000,30000
"CC002xCC011","X15156x3252","96","DRECHAL","IgM","SARS","N",NA,NA
"CC002xCC011","X15156x3252","96","DRECHAL","IgM","SARS","S",NA,300
"CC002xCC011","X15156x3252","96","DRECHAL","TotalG","SARS","N",3000,30000
"CC002xCC011","X15156x3252","96","DRECHAL","TotalG","SARS","S",30000,3e+06
"CC002xCC011","X15156x3252","98","DRECHAL","IgG1","SARS","N",NA,300
"CC002xCC011","X15156x3252","98","DRECHAL","IgG1","SARS","S",3000,30000
"CC002xCC011","X15156x3252","98","DRECHAL","IgG2ac","SARS","N",NA,NA
"CC002xCC011","X15156x3252","98","DRECHAL","IgG2ac","SARS","S",10000,3e+05
"CC002xCC011","X15156x3252","98","DRECHAL","IgG2b","SARS","N",100,1000
"CC002xCC011","X15156x3252","98","DRECHAL","IgG2b","SARS","S",10000,1e+05
"CC002xCC011","X15156x3252","98","DRECHAL","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","98","DRECHAL","IgG3","SARS","S",300,10000
"CC002xCC011","X15156x3252","98","DRECHAL","IgM","SARS","N",NA,100
"CC002xCC011","X15156x3252","98","DRECHAL","IgM","SARS","S",NA,300
"CC002xCC011","X15156x3252","98","DRECHAL","TotalG","SARS","N",NA,10000
"CC002xCC011","X15156x3252","98","DRECHAL","TotalG","SARS","S",30000,3e+06
"CC002xCC011","X15156x3252","99","DRECHAL","IgG1","SARS","N",NA,3000
"CC002xCC011","X15156x3252","99","DRECHAL","IgG1","SARS","S",300,10000
"CC002xCC011","X15156x3252","99","DRECHAL","IgG2ac","SARS","N",NA,1000
"CC002xCC011","X15156x3252","99","DRECHAL","IgG2ac","SARS","S",3000,1e+05
"CC002xCC011","X15156x3252","99","DRECHAL","IgG2b","SARS","N",300,3000
"CC002xCC011","X15156x3252","99","DRECHAL","IgG2b","SARS","S",3000,1e+05
"CC002xCC011","X15156x3252","99","DRECHAL","IgG3","SARS","N",NA,NA
"CC002xCC011","X15156x3252","99","DRECHAL","IgG3","SARS","S",NA,1000
"CC002xCC011","X15156x3252","99","DRECHAL","IgM","SARS","N",NA,NA
"CC002xCC011","X15156x3252","99","DRECHAL","IgM","SARS","S",NA,300
"CC002xCC011","X15156x3252","99","DRECHAL","TotalG","SARS","N",1000,30000
"CC002xCC011","X15156x3252","99","DRECHAL","TotalG","SARS","S",3000,3e+06
"CC002xCC021","X15156x1566","101","D29","IgG1","SARS","N",NA,100
"CC002xCC021","X15156x1566","101","D29","IgG1","SARS","S",NA,1000
"CC002xCC021","X15156x1566","101","D29","IgG2ac","SARS","N",NA,10000
"CC002xCC021","X15156x1566","101","D29","IgG2ac","SARS","S",3000,1e+05
"CC002xCC021","X15156x1566","101","D29","IgG2b","SARS","N",100,1000
"CC002xCC021","X15156x1566","101","D29","IgG2b","SARS","S",100,3000
"CC002xCC021","X15156x1566","101","D29","IgG3","SARS","N",NA,300
"CC002xCC021","X15156x1566","101","D29","IgG3","SARS","S",NA,100
"CC002xCC021","X15156x1566","101","D29","IgM","SARS","N",NA,NA
"CC002xCC021","X15156x1566","101","D29","IgM","SARS","S",NA,NA
"CC002xCC021","X15156x1566","101","D29","TotalG","SARS","N",NA,3000
"CC002xCC021","X15156x1566","101","D29","TotalG","SARS","S",10000,3e+05
"CC002xCC021","X15156x1566","102","D29","IgG1","SARS","N",NA,300
