"RIX","alias","ID","day","isotype","virus","antigen","AUC"
"CC001xCC074","X13140x3015","50","D29","TotalG","SARS","N",2.55304127721165
"CC072xCC075","X16521x3260","52","DRECHAL","IgG2b","SARS","N",3.18087801761246
"CC015xCC018","X3154x3609","54","D10","IgG1","SARS","S",0.291659479175124
"CC001xCC074","X13140x3015","50","D29","IgG3","SARS","S",0.00262083450479072
"CC001xCC074","X13140x3015","123","DRECHAL","IgG2b","SARS","S",3.93264589776348
"CC001xCC074","X13140x3015","43","D29","IgG2b","SARS","S",3.24216233573038
"CC001xCC074","X13140x3015","50","D29","IgG2ac","SARS","S",5.85442355108908
"CC005xCC001","X16211x13140","134","D7","IgM","SARS","S",4.32647597337197
"CC001xCC074","X13140x3015","98","DRECHAL","IgG1","SARS","S",0.0302971996746983
"CC001xCC074","X13140x3015","123","DRECHAL","TotalG","SARS","S",7.91690688910824
"CC001xCC074","X13140x3015","50","D29","TotalG","SARS","S",6.18758347829209
"CC001xCC074","X13140x3015","43","D29","TotalG","SARS","S",6.92852128283464
"CC028xCC030","X8016x8034","185","D7","IgG2b","SARS","S",1.30644200518148
"CC059xCC065","X16012x5119","43","D29","IgG2ac","SARS","N",2.18098975098453
"CC059xCC065","X16012x5119","40","DRECHAL","TotalG","SARS","N",4.56672453118783
"CC059xCC065","X16012x5119","42","D29","TotalG","SARS","N",7.46999151528308
"CC018xCC009","X3609x5489","92","D15","TotalG","SARS","N",-0.00409151498112136
"CC046xCC068","X5346x16768","27","D7","TotalG","SARS","N",0.220999103944217
"CC017xCC004","X3032x16188","83","D29","IgG1","SARS","N",1.80022875963978
"CC059xCC065","X16012x5119","43","D29","IgG2ac","SARS","S",4.94254460960781
"CC059xCC065","X16012x5119","42","D29","IgG2ac","SARS","S",6.03859347548059
"CC020xCC008","X8054x8036","20","DRECHAL","IgG2ac","SARS","N",0.308989106755714
"CC059xCC065","X16012x5119","13","D29","IgG2ac","SARS","S",1.69274452556484
"CC032xCC013","X8002x8010","104","D29","TotalG","SARS","N",1.72763324022065
"CC059xCC065","X16012x5119","155","D15","IgG2ac","SARS","S",3.28972453118783
"CC008xCC009","X8036x5489","76","D7","TotalG","SARS","S",0.583821842718525
"CC059xCC065","X16012x5119","147","D15","IgG2ac","SARS","S",3.58056771236704
"CC059xCC065","X16012x5119","40","DRECHAL","TotalG","SARS","S",6.18515233854189
"CC059xCC065","X16012x5119","42","D29","TotalG","SARS","S",9.37202349516108
"CC059xCC065","X16012x5119","146","D15","TotalG","SARS","S",6.85871764238156
"CC005xCC001","X16211x13140","90","D29","IgG2ac","SARS","N",1.21435936731913
"CC005xCC001","X16211x13140","38","D15","IgG2ac","SARS","N",0.941840268997911
"CC015xCC059","X3154x16012","103","DRECHAL","IgG1","SARS","S",6.50273074795228
"CC005xCC001","X16211x13140","105","D29","TotalG","SARS","N",3.74609014308442
"CC005xCC001","X16211x13140","90","D29","TotalG","SARS","N",3.22731582215501
"CC005xCC001","X16211x13140","38","D15","TotalG","SARS","N",2.24690422875391
"CC005xCC001","X16211x13140","136","D10","TotalG","SARS","N",2.92382248694734
"CC055xCC006","X16680x16750","30","D7","IgG2ac","SARS","N",-0.0565097731745565
"CC043xCC033","X8021x8033","63","DRECHAL","IgG2ac","SARS","N",2.23558882681377
"CC005xCC001","X16211x13140","90","D29","IgG2ac","SARS","S",3.69023408034842
"CC005xCC001","X16211x13140","37","D15","IgG2ac","SARS","S",2.72185513886718
"CC005xCC001","X16211x13140","34","D15","IgG2ac","SARS","S",3.41455438278237
"CC005xCC001","X16211x13140","137","D10","IgG2ac","SARS","S",2.7181134698576
"CC029xCC071","X3564x16785","61","D15","IgG2b","SARS","N",3.81672696752823
"CC005xCC001","X16211x13140","136","D10","IgG2ac","SARS","S",2.48244043708386
"CC005xCC001","X16211x13140","135","D10","IgG2ac","SARS","S",1.66930050425785
"CC074xCC058","X3015x5358","114","D7","IgG1","SARS","N",0.108813189613698
"CC005xCC001","X16211x13140","38","D15","TotalG","SARS","S",2.93617521728716
"CC005xCC001","X16211x13140","37","D15","TotalG","SARS","S",3.90885158245707
"CC026xCC034","X8026x5080","84","D7","IgG2b","SARS","S",0.236443797293045
"CC042xCC019","X18042x16513","101","D29","TotalG","SARS","N",2.18840800917797
"CC005xCC001","X16211x13140","135","D10","TotalG","SARS","S",3.2674611035027
"CC041xCC012","X16441x8005","166","DRECHAL","IgG2ac","SARS","N",2.09437224887591
"CC035xCC020","X5035x8054","38","D15","IgG2b","SARS","S",5.63037112880617
"CC071xCC053","X16785x773","86","DRECHAL","IgM","SARS","N",0.0457285634388576
"CC041xCC012","X16441x8005","50","D29","IgG2ac","SARS","N",1.33313702064471
"CC029xCC027","X3564x8027","60","D29","IgG3","SARS","N",-0.0136830299622427
"CC041xCC012","X16441x8005","51","D15","IgG2ac","SARS","N",0.680030635794324
"CC037xCC057","X16072x3393","37","D7","IgG2ac","SARS","N",0.100081293778674
"CC001xCC074","X13140x3015","98","DRECHAL","TotalG","SARS","N",2.74976029148989
"CC041xCC012","X16441x8005","187","DRECHAL","TotalG","SARS","N",3.02041377791451
"CC059xCC065","X16012x5119","40","DRECHAL","IgG3","SARS","N",0.199293643264585
"CC041xCC012","X16441x8005","166","DRECHAL","TotalG","SARS","N",3.50599551972108
"CC016xCC038","X8024x8049","31","DRECHAL","IgM","SARS","S",0.709354942666254
"CC041xCC012","X16441x8005","165","DRECHAL","TotalG","SARS","N",3.33522097477772
"CC041xCC012","X16441x8005","57","D29","TotalG","SARS","N",2.51214923015965
"CC065xCC072","X5119x16521","34","D29","IgG1","SARS","S",5.59365900333421
"CC005xCC038","X16211x8049","80","D29","IgG3","SARS","S",2.71894399349397
"CC041xCC012","X16441x8005","187","DRECHAL","IgG2ac","SARS","S",4.66392598742946
"CC039xCC020","X15155x8054","51","D7","IgG1","SARS","N",0.025676141155962
"CC041xCC012","X16441x8005","50","D29","IgG2ac","SARS","S",3.93486757239607
"CC056xCC033","X8056x8033","46","D29","IgM","SARS","S",0.537276757269801
