"RIX","alias","ID","day","virus","antigen","Ig2A.2C","IgG1","IgG2A.2B","IgG2ac","IgG2b","IgG3","TotalG"
"CC007xCC075","X13421x3260","149","DRECHAL","SARS","N",NA,NA,NA,2,NA,NA,3
"CC007xCC075","X13421x3260","149","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,4
"CC008xCC018","X8036x3609","114","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","114","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC008xCC018","X8036x3609","115","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","115","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC008xCC018","X8036x3609","116","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","116","D15","SARS","S",NA,NA,NA,3,NA,NA,3
"CC008xCC018","X8036x3609","117","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","117","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,5
"CC008xCC018","X8036x3609","118","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xCC018","X8036x3609","118","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,5
"CC008xCC018","X8036x3609","121","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xCC018","X8036x3609","121","DRECHAL","SARS","S",NA,NA,NA,4,NA,NA,5
"CC008xCC018","X8036x3609","55","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","55","D29","SARS","S",NA,NA,NA,4,NA,NA,4
"CC008xCC018","X8036x3609","60","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","60","D29","SARS","S",NA,NA,NA,4,NA,NA,4
"CC008xCC018","X8036x3609","61","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xCC018","X8036x3609","61","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC008xCC018","X8036x3609","65","D29","SARS","N",NA,NA,NA,0,NA,NA,1
"CC008xCC018","X8036x3609","65","D29","SARS","S",NA,NA,NA,3,NA,NA,4
"CC008xNA","X8036x15489","101","D15","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x15489","101","D15","SARS","S",NA,NA,NA,0,NA,NA,1
"CC008xNA","X8036x15489","107","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,2
"CC008xNA","X8036x15489","107","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,4
"CC008xNA","X8036x15489","110","DRECHAL","SARS","N",NA,NA,NA,0,NA,NA,2
"CC008xNA","X8036x15489","110","DRECHAL","SARS","S",NA,NA,NA,2,NA,NA,3
"CC008xNA","X8036x15489","52","D29","SARS","N",NA,NA,NA,0,NA,NA,0
"CC008xNA","X8036x15489","52","D29","SARS","S",NA,NA,NA,2,NA,NA,4
