"RIX","ID","RIX_ID","Cohort","Treatment","Day","lowest.day","lowest.weight"
"CC019xCC027","8","16513x8027_8","1_16i","Influenza",15,5,98.7878787878788
"CC019xCC027","15","16513x8027_15","1_16i","Influenza",15,7,100
"CC019xCC027","28","16513x8027_28","1_16i","Influenza",15,12,93.3333333333333
"CC019xCC027","39","16513x8027_39","1_16i","Influenza",15,12,95.1388888888889
"CC019xCC027","41","16513x8027_41","1_16i","Influenza",15,3,98.1927710843374
"CC019xCC027","42","16513x8027_42","1_16i","Influenza",15,12,88.3561643835616
"CC019xCC027","10","16513x8027_10","1_16i","Influenza",45,7,98.2456140350877
"CC019xCC027","19","16513x8027_19","1_16i","Influenza",45,5,98.2558139534884
"CC072xCC075","94","16521x3260_94","9_15ix","Influenza",15,7,92.1487603305785
"CC072xCC075","95","16521x3260_95","9_15ix","Influenza",15,8,85.5371900826446
"CC072xCC075","96","16521x3260_96","9_15ix","Influenza",15,7,94.8275862068966
"CC072xCC063","75","16521x5391_75","12_15xii","Influenza",10,4,97.5369458128079
"CC072xCC063","77","16521x5391_77","12_15xii","Influenza",10,3,93.7777777777778
"CC072xCC063","79","16521x5391_79","12_15xii","Influenza",10,4,91.9642857142857
"CC072xCC063","80","16521x5391_80","12_15xii","Influenza",10,4,88.2352941176471
"CC072xCC063","22","16521x5391_22","10_15x","Influenza",15,3,98.6666666666667
"CC072xCC063","23","16521x5391_23","10_15x","Influenza",15,1,95.049504950495
"CC072xCC063","24","16521x5391_24","10_15x","Influenza",15,2,98.4615384615385
"CC072xCC063","25","16521x5391_25","10_15x","Influenza",15,2,93.103448275862
"CC072xCC063","83","16521x5391_83","1_16i","Influenza",45,4,62.0817843866171
"CC072xCC063","84","16521x5391_84","1_16i","Influenza",45,4,96.6417910447761
"CC072xCC063","86","16521x5391_86","1_16i","Influenza",45,3,97.0338983050847
"CC040xCC003","129","16557x13067_129","5_14v","Influenza",10,10,69.4444444444445
"CC040xCC003","130","16557x13067_130","5_14v","Influenza",10,10,72.2113502935421
"CC040xCC003","131","16557x13067_131","5_14v","Influenza",10,8,97.2069092245498
"CC040xCC003","68","16557x13067_68","2_14ii","Influenza",15,7,93.6334405144695
"CC040xCC003","69","16557x13067_69","2_14ii","Influenza",15,1,96.9685767097967
"CC040xCC003","70","16557x13067_70","2_14ii","Influenza",15,10,75.3684210526316
"CC040xCC003","117","16557x13067_117","4_14iv","Influenza",45,9,77.3626373626374
"CC040xCC003","118","16557x13067_118","4_14iv","Influenza",45,10,83.5984095427435
"CC040xCC003","119","16557x13067_119","4_14iv","Influenza",45,8,85.2427184466019
"CC040xCC015","69","16557x3154_69","8_15viii","Influenza",10,10,75.6756756756757
"CC040xCC015","71","16557x3154_71","8_15viii","Influenza",10,9,70.9523809523809
"CC040xCC015","74","16557x3154_74","8_15viii","Influenza",10,10,69.0582959641256
"CC040xCC015","97","16557x3154_97","9_15ix","Influenza",15,8,70.8542713567839
"CC040xCC015","98","16557x3154_98","9_15ix","Influenza",15,6,78.5046728971963
"CC040xCC015","99","16557x3154_99","9_15ix","Influenza",15,8,73.7113402061856
"CC040xCC015","102","16557x3154_102","9_15ix","Influenza",15,8,74.235807860262
"CC040xCC015","112","16557x3154_112","9_15ix","Influenza",15,8,72.5225225225225
"CC040xCC015","103","16557x3154_103","9_15ix","Influenza",45,6,78.7037037037037
"CC040xCC015","104","16557x3154_104","9_15ix","Influenza",45,9,68.9320388349514
"CC040xCC015","108","16557x3154_108","9_15ix","Influenza",45,9,64.6017699115044
"CC040xCC015","109","16557x3154_109","9_15ix","Influenza",45,6,80.8219178082192
"CC040xCC015","113","16557x3154_113","9_15ix","Influenza",45,9,78.0748663101604
"CC055xCC006","70","16680x16750_70","6_16vi","Influenza",10,7,81.858407079646
"CC055xCC006","71","16680x16750_71","6_16vi","Influenza",10,7,82.2222222222222
"CC055xCC006","72","16680x16750_72","6_16vi","Influenza",10,7,89.9563318777293
"CC055xCC006","73","16680x16750_73","6_16vi","Influenza",10,7,86.7579908675799
"CC055xCC006","127","16680x16750_127","7_16vii","Influenza",15,8,71.6494845360825
"CC055xCC006","128","16680x16750_128","7_16vii","Influenza",15,8,70.9183673469388
"CC055xCC006","139","16680x16750_139","7_16vii","Influenza",15,7,88.6255924170616
"CC055xCC006","143","16680x16750_143","7_16vii","Influenza",15,7,93.0348258706468
"CC055xCC006","7","16680x16750_7","12_15xii","Influenza",45,4,101.785714285714
"CC055xCC006","8","16680x16750_8","12_15xii","Influenza",45,6,113.661202185792
"CC055xCC006","10","16680x16750_10","12_15xii","Influenza",45,7,91.2371134020619
"CC055xCC006","11","16680x16750_11","12_15xii","Influenza",45,4,102.631578947368
"CC055xCC028","133","16680x8016_133","8_15viii","Influenza",10,2,97.752808988764
"CC055xCC028","134","16680x8016_134","8_15viii","Influenza",10,4,92
"CC055xCC028","135","16680x8016_135","8_15viii","Influenza",10,4,100.873362445415
"CC055xCC028","65","16680x8016_65","3_15iii","Influenza",15,4,96.5250965250965
"CC055xCC028","66","16680x8016_66","3_15iii","Influenza",15,4,93.8931297709924
"CC055xCC028","70","16680x8016_70","3_15iii","Influenza",15,4,85.2713178294574
"CC055xCC028","71","16680x8016_71","3_15iii","Influenza",15,12,98.2978723404255
"CC055xCC028","102","16680x8016_102","7_15vii","Influenza",15,10,85.9315589353612
"CC055xCC028","103","16680x8016_103","7_15vii","Influenza",15,4,100
"CC055xCC028","111","16680x8016_111","7_15vii","Influenza",15,7,80.3508771929825
"CC055xCC028","112","16680x8016_112","7_15vii","Influenza",15,4,85.4961832061069
"CC055xCC028","115","16680x8016_115","8_15viii","Influenza",45,15,80.7843137254902
"CC055xCC028","116","16680x8016_116","8_15viii","Influenza",45,14,87.5
"CC055xCC028","123","16680x8016_123","8_15viii","Influenza",45,9,88.5608856088561
"CC006xCC007","90","16750x13421_90","4_15iv","Influenza",10,8,94.4954128440367
"CC006xCC007","98","16750x13421_98","4_15iv","Influenza",10,7,88.2352941176471
"CC006xCC007","104","16750x13421_104","4_15iv","Influenza",10,10,96.1538461538462
"CC006xCC007","105","16750x13421_105","4_15iv","Influenza",10,8,90.5660377358491
"CC006xCC007","148","16750x13421_148","6_15vi","Influenza",10,7,82.089552238806
"CC006xCC007","149","16750x13421_149","6_15vi","Influenza",10,7,87.037037037037
"CC006xCC007","150","16750x13421_150","6_15vi","Influenza",10,8,80.5825242718447
"CC006xCC007","50","16750x13421_50","1_15i","Influenza",15,7,83.4101382488479
"CC006xCC007","60","16750x13421_60","1_15i","Influenza",15,8,89.0909090909091
"CC006xCC007","61","16750x13421_61","1_15i","Influenza",15,8,90.5405405405405
"CC006xCC007","62","16750x13421_62","1_15i","Influenza",15,10,84.5794392523365
"CC006xCC007","89","16750x13421_89","4_15iv","Influenza",45,8,93.2735426008969
"CC006xCC007","96","16750x13421_96","4_15iv","Influenza",45,8,91.4572864321608
"CC006xCC007","97","16750x13421_97","4_15iv","Influenza",45,8,84.2592592592593
"CC006xCC039","72","16750x15155_72","1_16i","Influenza",10,3,90.1477832512315
"CC006xCC039","79","16750x15155_79","1_16i","Influenza",10,6,92.972972972973
"CC006xCC039","113","16750x15155_113","2_16ii","Influenza",15,6,92.9752066115702
