"RIX","ID","RIX_ID","Cohort","Treatment","Day","D1per","D2per","D3per","D4per","D5per","D6per","D7per","D8per","D9per","D10per","D11per","D12per","D13per","D14per","D15per","D45per"
"CC019xCC027","33","16513x8027_33","1_16i","Influenza","10",101.818181818182,101.212121212121,99.3939393939394,98.7878787878788,97.5757575757576,100.606060606061,98.7878787878788,99.3939393939394,100,103.636363636364,NA,NA,NA,NA,NA,NA
"CC019xCC027","43","16513x8027_43","1_16i","Influenza","10",103.636363636364,102.424242424242,101.818181818182,101.818181818182,102.424242424242,101.818181818182,101.212121212121,103.030303030303,103.030303030303,106.666666666667,NA,NA,NA,NA,NA,NA
"CC019xCC027","46","16513x8027_46","1_16i","Influenza","10",102.352941176471,100.588235294118,100.588235294118,99.4117647058823,100.588235294118,99.4117647058823,99.4117647058823,100,100,100.588235294118,NA,NA,NA,NA,NA,NA
"CC019xCC027","52","16513x8027_52","1_16i","Influenza","10",104.21686746988,103.614457831325,101.204819277108,101.204819277108,100.602409638554,103.012048192771,100.602409638554,103.012048192771,102.409638554217,106.626506024096,NA,NA,NA,NA,NA,NA
"CC019xCC027","4","16513x8027_4","1_16i","Influenza","15",99.4082840236686,104.14201183432,100.591715976331,100.591715976331,101.183431952663,99.4082840236686,100.591715976331,101.775147928994,101.183431952663,103.550295857988,102.958579881657,104.14201183432,105.325443786982,102.958579881657,108.284023668639,NA
"CC019xCC027","8","16513x8027_8","1_16i","Influenza","15",100.606060606061,104.848484848485,102.424242424242,100.606060606061,98.7878787878788,101.212121212121,102.424242424242,101.818181818182,102.424242424242,101.818181818182,100.606060606061,100,100.606060606061,102.424242424242,106.060606060606,NA
"CC019xCC027","15","16513x8027_15","1_16i","Influenza","15",102.906976744186,104.651162790698,101.162790697674,101.162790697674,102.325581395349,100.581395348837,100,101.744186046512,101.744186046512,100.581395348837,101.744186046512,100.581395348837,104.06976744186,100,103.488372093023,NA
"CC019xCC027","28","16513x8027_28","1_16i","Influenza","15",99.3939393939394,96.969696969697,100,100,95.7575757575758,96.969696969697,96.3636363636364,96.3636363636364,96.3636363636364,95.1515151515151,95.7575757575758,93.3333333333333,96.969696969697,95.1515151515151,96.3636363636364,NA
"CC019xCC027","39","16513x8027_39","1_16i","Influenza","15",100.694444444444,98.6111111111111,97.9166666666667,98.6111111111111,96.5277777777778,99.3055555555556,97.9166666666667,99.3055555555556,96.5277777777778,97.9166666666667,98.6111111111111,95.1388888888889,100.694444444444,96.5277777777778,98.6111111111111,NA
"CC019xCC027","41","16513x8027_41","1_16i","Influenza","15",100.602409638554,100,98.1927710843374,101.807228915663,101.807228915663,100.602409638554,100.602409638554,103.012048192771,100.602409638554,101.807228915663,100.602409638554,100,102.409638554217,98.1927710843374,100.602409638554,NA
