"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"CC004xCC012","16188","8005","77","45","Influenza","Influenza","HA","12_13xii","2014_05_26",9.43460812133587,12.3915934476676,11.0034179785534,7.25966454805684,0.163153262410681,13.1659872590181
"CC004xCC012","16188","8005","81","15","Influenza","Influenza","HA","1_14i","2014_05_26",3.12149997218698,10.3602091854776,9.09153304432164,8.6736965279348,2.30851618613993,11.8492573793086
"CC004xCC012","16188","8005","82","15","Influenza","Influenza","HA","1_14i","2014_05_26",1.19954418939294,9.12603304432163,7.24173917704314,4.50543864497229,1.10557373293055,10.3341078973219
"CC004xCC012","16188","8005","83","15","Influenza","Influenza","HA","1_14i","2014_05_26",0.780727667383074,9.1023859986754,7.66841887460922,6.93688955508554,1.05702131064766,10.464071913006
"CC005xCC001","16211","13140","120","45","Influenza","Influenza","HA","11_13xi","2014_05_26",4.48961458992733,8.10453326833561,9.52749372760947,6.8861774296136,0.063212349485912,11.3810388130582
"CC005xCC001","16211","13140","121","45","Influenza","Influenza","HA","11_13xi","2014_05_26",2.58788291810625,9.38047751365652,10.7093822182514,0.402532427905891,0.0759149257972675,12.1541265476153
"CC005xCC001","16211","13140","126","45","Influenza","Influenza","HA","11_13xi","2014_05_26",6.14270809322095,11.0857382809874,9.43034668196323,0.900136600429844,0.0846306076793472,12.5522762536159
"CC005xCC001","16211","13140","127","45","Influenza","Influenza","HA","11_13xi","2014_05_26",1.86143934482715,9.89742509137363,10.7715390370722,0.873508877118774,0.0612450014057491,12.2229139741155
"CC005xCC001","16211","13140","128","45","Influenza","Influenza","HA","11_13xi","2014_05_26",1.07114326522218,9.32378471051972,6.97427516135914,0.841460235259937,0.0574966676038326,10.5785621398314
"CC005xCC001","16211","13140","129","45","Influenza","Influenza","HA","11_13xi","2014_05_20",3.19011814633744,10.3349217589775,9.63364410565188,0.283774320929418,0.0553365163868702,12.11495995562
"CC005xCC001","16211","13140","54","15","Influenza","Influenza","HA","9_13ix","merged",5.0274966258843,7.06212845173385,NA,0.709041305024664,NA,8.52126561219856
"CC005xCC001","16211","13140","64","15","Influenza","Influenza","HA","9_13ix","2014_05_06",8.5607456178215,6.01537000873645,6.90767387320346,0.552351610270087,0.361189246726686,10.6900130499447
"CC005xCC001","16211","13140","65","15","Influenza","Influenza","HA","9_13ix","2014_05_06",0.381776981283748,3.49104326552414,3.05132758364206,0.136391823038041,0.0858200784199788,5.24436023556189
"CC005xCC020","16211","8054","16","10","Influenza","Influenza","HA","2_16ii","2016_10_10",0.146637048457736,0.647195015463237,0.708413805727539,0.167735004217246,1.52555329052566,2.70525740712161
"CC005xCC020","16211","8054","31","10","Influenza","Influenza","HA","2_16ii","2016_10_10",0.8941379167005,1.06920011215795,1.21718700658723,0.176058415033393,1.78501041740337,3.83264234135338
"CC005xCC020","16211","8054","38","10","Influenza","Influenza","HA","2_16ii","2016_10_10",0.21128387009003,1.88762436310188,2.3244930833807,0.325358723090313,1.94679140312513,4.74970764519305
"CC005xCC038","16211","8049","65","45","Influenza","Influenza","HA","4_16iv","merged",8.3968722349694,8.03043765081605,5.90777139484162,4.71668521447566,0.0890178801510292,9.93692864778379
"CC005xCC038","16211","8049","68","45","Influenza","Influenza","HA","4_16iv","merged",9.2336154581701,7.87052272501878,6.75747230495489,5.40940256255583,0.0475309857217531,10.1710020585999
"CC005xCC038","16211","8049","69","45","Influenza","Influenza","HA","4_16iv","merged",4.33751729230314,6.7147286337263,6.58205215654942,NA,0.0392074628986338,9.4377965979203
"CC005xCC040","16211","16557","129","15","Influenza","Influenza","HA","8_14viii","2017_02_15",2.16705217045592,4.75526872058077,1.19065147029911,0.318672584745849,0.347725007028744,5.16396152371758
"CC005xCC040","16211","16557","133","15","Influenza","Influenza","HA","8_14viii","2015_05_06",0.0492712125471963,4.66310302464121,2.43868854687183,0.025849621957594,0.0403822738774308,5.00194287342424
"CC005xCC040","16211","16557","134","15","Influenza","Influenza","HA","8_14viii","2017_02_15",1.45848176992154,3.35616233573038,0.766723886959012,0.255430915736267,0.186146821632293,5.41179159932606
"CC005xCC040","16211","16557","135","15","Influenza","Influenza","HA","8_14viii","2017_02_15",3.15665166650004,6.03123273626477,0.874403808539036,0.459358723090313,0.247695687505075,5.46550728120813
"CC005xCC040","16211","16557","90","10","Influenza","Influenza","HA","5_14v","2015_05_06",3.41588157402258,5.24044287342424,2.10144399349397,1.66336958852158,0.189359171118205,6.68171075357527
"CC005xCC040","16211","16557","91","45","Influenza","Influenza","HA","5_14v","2014_08_20",3.827711873645,8.0074686365378,5.86816832848088,0.354872052674982,0.133957350891662,8.80218409440594
"CC005xCC040","16211","16557","94","10","Influenza","Influenza","HA","5_14v","2015_05_06",0.0413038644670334,0.878374489015368,0.759550854185275,0.176865611896594,1.53016768425206,3.30101817445242
"CC005xCC040","16211","16557","95","45","Influenza","Influenza","HA","5_14v","2014_09_17",0.0125784094103975,6.87272052674982,3.69445953540509,0.0503234108161464,0.0451403808539036,7.08778916298567
"CC005xCC040","16211","16557","97","10","Influenza","Influenza","HA","5_14v","2015_05_06",2.63543178397903,5.58250817726391,4.70309969224504,0.171754550566359,0.389430691722322,6.63542310306119
"CC005xCC040","16211","16557","98","45","Influenza","Influenza","HA","5_14v","2014_09_17",0.303901372198652,5.41782181490551,1.81182049863485,1.4069191264362,0.0165881825849539,5.60718454243382
"CC006xCC007","16750","13421","104","10","Influenza","Influenza","HA","4_15iv","2015_05_19",0.0453725007028744,2.78746908456569,2.31882870371179,0.536782750020296,0.490874713029313,3.44631870652328
"CC006xCC007","16750","13421","105","10","Influenza","Influenza","HA","4_15iv","2015_05_19",0.97367790545451,2.88138756677307,1.4171014843566,2.52993976504202,0.671763427685133,3.81401150966008
"CC006xCC007","16750","13421","148","10","Influenza","Influenza","HA","6_15vi","2016_01_13",0.0216012881556778,0.0853331839907029,0.0560750770142303,0.0720848501887867,0.185195687505075,0.287002660354329
