"RIX","ID","day","virus","cohort","RIX_ID"
"CC021xCC023",13,4,"Mock","6_14vi","1566x8043_13"
"CC021xCC023",86,15,"Mock","7_14vii","1566x8043_86"
"CC021xCC023",8,2,"Influenza","6_14vi","1566x8043_8"
"CC021xCC023",38,2,"Mock","6_14vi","1566x8043_38"
"CC021xCC023",39,10,"Influenza","6_14vi","1566x8043_39"
"CC021xCC023",92,15,"Mock","7_14vii","1566x8043_92"
"CC021xCC023",11,4,"Influenza","6_14vi","1566x8043_11"
"CC021xCC023",87,15,"Mock","7_14vii","1566x8043_87"
"CC059xNA",27,2,"Influenza","8_14viii","16012x15119_27"
"CC059xNA",125,7,"Influenza","2_15ii","16012x15119_125"
"CC059xNA",124,2,"Mock","2_15ii","16012x15119_124"
"CC059xNA",115,7,"Influenza","2_15ii","16012x15119_115"
"CC059xNA",51,4,"Influenza","9_14ix","16012x15119_51"
"CC059xNA",120,7,"Influenza","2_15ii","16012x15119_120"
"CC059xNA",102,7,"Influenza","2_15ii","16012x15119_102"
"CC059xNA",2,2,"Influenza","8_14viii","16012x15119_2"
"CC059xNA",99,4,"Mock","2_15ii","16012x15119_99"
"CC059xNA",26,2,"Mock","8_14viii","16012x15119_26"
"CC059xNA",77,10,"Influenza","9_14ix","16012x15119_77"
"CC059xNA",76,10,"Influenza","9_14ix","16012x15119_76"
"CC059xNA",121,2,"Mock","2_15ii","16012x15119_121"
"CC059xNA",108,2,"Influenza","2_15ii","16012x15119_108"
"CC059xNA",1,2,"Influenza","8_14viii","16012x15119_1"
"CC059xNA",113,4,"Influenza","2_15ii","16012x15119_113"
"CC059xNA",28,2,"Mock","8_14viii","16012x15119_28"
"CC059xNA",103,2,"Mock","2_15ii","16012x15119_103"
"CC059xNA",3,2,"Mock","8_14viii","16012x15119_3"
"CC059xNA",69,45,"Influenza","9_14ix","16012x15119_69"
"CC059xNA",98,4,"Influenza","2_15ii","16012x15119_98"
"CC059xNA",59,15,"Mock","9_14ix","16012x15119_59"
"CC059xNA",78,45,"Influenza","9_14ix","16012x15119_78"
"CC059xNA",109,2,"Influenza","2_15ii","16012x15119_109"
"CC059xNA",70,45,"Influenza","9_14ix","16012x15119_70"
"CC059xNA",130,2,"Influenza","2_15ii","16012x15119_130"
"CC059xNA",106,7,"Influenza","2_15ii","16012x15119_106"
"CC059xNA",57,15,"Mock","9_14ix","16012x15119_57"
"CC059xNA",97,4,"Influenza","2_15ii","16012x15119_97"
"CC059xNA",114,4,"Mock","2_15ii","16012x15119_114"
"CC059xNA",61,15,"Influenza","9_14ix","16012x15119_61"
"CC059xNA",101,4,"Mock","2_15ii","16012x15119_101"
"CC059xNA",55,4,"Mock","9_14ix","16012x15119_55"
"CC059xNA",67,10,"Influenza","9_14ix","16012x15119_67"
"CC059xNA",60,15,"Influenza","9_14ix","16012x15119_60"
"CC059xNA",54,4,"Mock","9_14ix","16012x15119_54"
"CC059xNA",50,4,"Influenza","9_14ix","16012x15119_50"
"CC059xNA",56,15,"Influenza","9_14ix","16012x15119_56"
"CC059xNA",110,2,"Influenza","2_15ii","16012x15119_110"
"CC059xNA",107,7,"Influenza","2_15ii","16012x15119_107"
"CC059xNA",52,4,"Influenza","9_14ix","16012x15119_52"
"CC059xNA",111,2,"Influenza","2_15ii","16012x15119_111"
"CC059xNA",58,15,"Mock","9_14ix","16012x15119_58"
"CC059xNA",53,4,"Mock","9_14ix","16012x15119_53"
"CC059xNA",68,10,"Influenza","9_14ix","16012x15119_68"
"CC070xCC003",2,4,"Influenza","5_15v","16034x13067_2"
"CC070xCC003",11,4,"Influenza","5_15v","16034x13067_11"
"CC070xCC003",31,7,"Influenza","6_15vi","16034x13067_31"
"CC070xCC003",90,7,"Influenza","7_15vii","16034x13067_90"
"CC070xCC003",46,15,"Influenza","6_15vi","16034x13067_46"
"CC070xCC003",32,10,"Influenza","6_15vi","16034x13067_32"
"CC070xCC003",33,15,"Influenza","6_15vi","16034x13067_33"
"CC070xCC003",47,15,"Mock","6_15vi","16034x13067_47"
"CC070xCC003",13,2,"Mock","5_15v","16034x13067_13"
"CC070xCC003",45,10,"Influenza","6_15vi","16034x13067_45"
"CC070xCC003",45,15,"Mock","6_15vi","16034x13067_45"
"CC070xCC003",1,4,"Mock","5_15v","16034x13067_1"
"CC070xCC003",84,45,"Influenza","7_15vii","16034x13067_84"
"CC070xCC003",40,15,"Influenza","6_15vi","16034x13067_40"
"CC070xCC003",3,4,"Mock","5_15v","16034x13067_3"
"CC070xCC003",14,2,"Influenza","5_15v","16034x13067_14"
"CC070xCC003",22,2,"Influenza","5_15v","16034x13067_22"
"CC070xCC003",18,2,"Influenza","5_15v","16034x13067_18"
"CC070xCC003",21,2,"Mock","5_15v","16034x13067_21"
"CC070xCC003",82,45,"Influenza","7_15vii","16034x13067_82"
"CC070xCC003",86,7,"Influenza","7_15vii","16034x13067_86"
