"RIX","ID","day","dam","sire","isotype","antigen_virus","antigen","assay_date","virus","cohort","RIX_ID","AUC"
"CC002xCC011","59","45","15156","3252","IgG2ac","Influenza","HA","2013_12_05","Influenza","10_13x","15156x3252_59",6.67968787482999
"CC002xCC011","59","45","15156","3252","IgG1","Influenza","HA","2013_12_05","Influenza","10_13x","15156x3252_59",7.34830537693862
"CC002xCC011","59","45","15156","3252","IgM","Influenza","HA","2013_12_05","Influenza","10_13x","15156x3252_59",0.0279280313679916
"CC002xCC011","59","45","15156","3252","IgG2b","Influenza","HA","2013_12_05","Influenza","10_13x","15156x3252_59",6.63468787482999
"CC002xCC011","59","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_59",7.91577113967264
"CC002xCC011","59","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_59",7.015590483964
"CC002xCC011","59","45","15156","3252","TotalG","Influenza","HA","2013_12_12","Influenza","10_13x","15156x3252_59",7.95442578469411
"CC002xCC011","59","45","15156","3252","IgG3","Influenza","HA","2013_12_05","Influenza","10_13x","15156x3252_59",2.83682892772573
"CC002xCC011","6","45","15156","3252","IgM","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_6",0.024794091292477
"CC002xCC011","6","45","15156","3252","TotalG","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",0.478708345047907
"CC002xCC011","6","45","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_6",6.87030870933478
"CC002xCC011","6","45","15156","3252","IgG2ac","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_6",5.97048529851863
"CC002xCC011","6","45","15156","3252","IgG2b","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_6",6.2651454497356
"CC002xCC011","6","45","15156","3252","IgG1","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_6",3.09121142561711
"CC002xCC011","6","45","15156","3252","IgG2b","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",3.58911968662204
"CC002xCC011","6","45","15156","3252","IgG2ac","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",7.42876205578842
"CC002xCC011","6","45","15156","3252","IgG3","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_6",0.120297199674698
"CC002xCC011","6","45","15156","3252","IgM","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",0.0499835620331088
"CC002xCC011","6","45","15156","3252","IgG3","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",0.0309868944292761
"CC002xCC011","6","45","15156","3252","IgG1","Influenza","HA","2014_05_02","Influenza","10_13x","15156x3252_6",8.68001683036869
"CC002xCC011","7","45","15156","3252","IgG3","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_7",0.829488434713877
"CC002xCC011","7","45","15156","3252","IgM","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_7",0.0183953794481548
"CC002xCC011","7","45","15156","3252","IgG2b","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_7",4.5754066650943
"CC002xCC011","7","45","15156","3252","TotalG","Influenza","HA","2014_01_17","Influenza","10_13x","15156x3252_7",6.16943598461797
"CC002xCC011","7","45","15156","3252","IgG1","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_7",1.78296754428109
"CC002xCC011","7","45","15156","3252","IgG2ac","Influenza","HA","2013_12_19","Influenza","10_13x","15156x3252_7",6.93890977347651
"CC002xCC021","163","45","15156","1566","IgG2ac","Influenza","HA","2013_12_19","Influenza","2_13ii","15156x1566_163",5.22671052956133
"CC002xCC021","163","45","15156","1566","IgG1","Influenza","HA","2013_12_19","Influenza","2_13ii","15156x1566_163",2.11027362107457
"CC002xCC021","163","45","15156","1566","IgG3","Influenza","HA","2013_12_19","Influenza","2_13ii","15156x1566_163",1.39122875963979
"CC002xCC021","163","45","15156","1566","IgG2b","Influenza","HA","2013_12_19","Influenza","2_13ii","15156x1566_163",3.03873696471672
"CC002xCC021","163","45","15156","1566","IgM","Influenza","HA","2013_12_19","Influenza","2_13ii","15156x1566_163",0.0402547745803053
"CC002xCC021","168","45","15156","1566","IgG2b","Influenza","HA","2013_12_03","Influenza","2_13ii","15156x1566_168",6.94156037553287
"CC002xCC021","168","45","15156","1566","IgG2ac","Influenza","HA","2013_12_03","Influenza","2_13ii","15156x1566_168",6.95165189051395
"CC002xCC021","168","45","15156","1566","IgG3","Influenza","HA","2013_12_03","Influenza","2_13ii","15156x1566_168",3.8759102215044
"CC002xCC021","168","45","15156","1566","IgM","Influenza","HA","2013_12_03","Influenza","2_13ii","15156x1566_168",0.386766984095246
"CC002xCC021","168","45","15156","1566","IgG1","Influenza","HA","2013_12_03","Influenza","2_13ii","15156x1566_168",4.8738742371884
"CC002xCC021","170","15","15156","1566","IgG3","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",4.62673052393833
"CC002xCC021","170","15","15156","1566","IgG1","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",4.5101390089572
"CC002xCC021","170","15","15156","1566","IgG2ac","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",6.27807681349976
"CC002xCC021","170","15","15156","1566","IgG2ac","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",4.73622075076377
"CC002xCC021","170","15","15156","1566","TotalG","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",7.26870098040072
"CC002xCC021","170","15","15156","1566","IgM","Influenza","HA","2013_11_26","Influenza","2_13ii","15156x1566_170",0.638779865652023
"CC002xCC021","174","15","15156","1566","IgG2b","Influenza","HA","2017_07_10","Influenza","2_13ii","15156x1566_174",1.12490646889336
"CC002xCC021","174","15","15156","1566","IgG2ac","Influenza","HA","2017_07_10","Influenza","2_13ii","15156x1566_174",5.37955371074053
"CC002xCC021","174","15","15156","1566","IgG3","Influenza","HA","2017_07_10","Influenza","2_13ii","15156x1566_174",1.38587936169614
