"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","halfmax","last_positive"
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgM","Flu","HA","2014_04_15",0,1
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","IgM","Flu","HA.1","2014_01_13",0,0
"CC002xCC011","49","15156x3252_49","10","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",0,2
"CC002xCC011","58","15156x3252_58","45","Influenza","10_13x","IgG1","Flu","HA","2013_12_12",5,7
"CC002xCC011","58","15156x3252_58","45","Influenza","10_13x","IgG1","Flu","HA.1","2013_12_03",4,6
"CC002xCC011","58","15156x3252_58","45","Influenza","10_13x","IgG2b","Flu","HA","2013_12_03",5,7
"CC002xCC011","58","15156x3252_58","45","Influenza","10_13x","IgG3","Flu","HA","2013_12_03",0,4
"CC002xCC011","58","15156x3252_58","45","Influenza","10_13x","IgM","Flu","HA","2013_12_03",0,0
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgG1","Flu","HA","2013_12_12",4,7
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgG1","Flu","HA.1","2013_12_05",5,7
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgG2ac","Flu","HA","2013_12_05",4,7
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgG2b","Flu","HA","2013_12_05",4,6
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgG3","Flu","HA","2013_12_05",2,4
"CC002xCC011","59","15156x3252_59","45","Influenza","10_13x","IgM","Flu","HA","2013_12_05",0,0
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","IgG1","Flu","HA","2013_12_19",2,5
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","IgG2ac","Flu","HA","2013_12_19",4,6
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","IgG2b","Flu","HA","2013_12_19",4,6
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","IgG3","Flu","HA","2013_12_19",0,0
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","IgM","Flu","HA","2013_12_19",0,0
"CC002xCC011","6","15156x3252_6","45","Influenza","10_13x","TotalG","Flu","HA","2014_01_17",4,7
"CC002xCC011","7","15156x3252_7","45","Influenza","10_13x","IgG1","Flu","HA","2013_12_19",1,4
"CC002xCC011","7","15156x3252_7","45","Influenza","10_13x","IgG2ac","Flu","HA","2013_12_19",4,7
"CC002xCC011","7","15156x3252_7","45","Influenza","10_13x","IgG2b","Flu","HA","2013_12_19",3,5
"CC002xCC011","7","15156x3252_7","45","Influenza","10_13x","IgG3","Flu","HA","2013_12_19",0,3
"CC002xCC011","7","15156x3252_7","45","Influenza","10_13x","IgM","Flu","HA","2013_12_19",0,0
"CC002xCC021","124","15156x1566_124","7","Influenza","1_13i","IgG1","Flu","HA","2013_12_03",0,3
"CC002xCC021","124","15156x1566_124","7","Influenza","1_13i","IgG3","Flu","HA","2013_12_03",0,3
"CC002xCC021","124","15156x1566_124","7","Influenza","1_13i","IgM","Flu","HA","2013_12_03",0,1
"CC002xCC021","141","15156x1566_141","7","Influenza","1_13i","IgG1","Flu","HA","2013_12_03",0,0
"CC002xCC021","141","15156x1566_141","7","Influenza","1_13i","IgG3","Flu","HA","2013_12_03",0,1
"CC002xCC021","141","15156x1566_141","7","Influenza","1_13i","IgM","Flu","HA","2013_12_03",0,1
"CC002xCC021","163","15156x1566_163","45","Influenza","2_13ii","IgG1","Flu","HA","2013_12_19",1,4
"CC002xCC021","163","15156x1566_163","45","Influenza","2_13ii","IgG2ac","Flu","HA","2013_12_19",3,6
"CC002xCC021","163","15156x1566_163","45","Influenza","2_13ii","IgG2b","Flu","HA","2013_12_19",2,4
"CC002xCC021","163","15156x1566_163","45","Influenza","2_13ii","IgG3","Flu","HA","2013_12_19",1,3
"CC002xCC021","163","15156x1566_163","45","Influenza","2_13ii","IgM","Flu","HA","2013_12_19",0,0
"CC002xCC021","168","15156x1566_168","45","Influenza","2_13ii","IgG1","Flu","HA","2013_12_03",3,6
"CC002xCC021","168","15156x1566_168","45","Influenza","2_13ii","IgG2b","Flu","HA","2013_12_03",4,7
"CC002xCC021","168","15156x1566_168","45","Influenza","2_13ii","IgG3","Flu","HA","2013_12_03",3,5
"CC002xCC021","168","15156x1566_168","45","Influenza","2_13ii","IgM","Flu","HA","2013_12_03",0,2
