"RIX","ID","RIX_ID","day","virus","cohort","isotype","antigen_virus","antigen","assay_date","AUC"
"CC027xCC045","138","8027x8045_138","45","Influenza","7_15vii","IgG2b","Flu","HA","2016_12_14",2.63669543567811
"CC027xCC045","138","8027x8045_138","45","Influenza","7_15vii","TotalG","Flu","HA","2016_12_14",7.07792954383957
"CC027xCC045","139","8027x8045_139","45","Influenza","7_15vii","IgG2b","Flu","HA","2016_12_14",2.19065079825728
"CC027xCC045","139","8027x8045_139","45","Influenza","7_15vii","IgG2ac","Flu","HA","2016_12_14",7.33530204454244
"CC027xCC045","139","8027x8045_139","45","Influenza","7_15vii","IgG3","Flu","HA","2016_12_14",1.51466101945973
"CC027xCC045","139","8027x8045_139","45","Influenza","7_15vii","TotalG","Flu","HA","2016_12_14",8.38216788045299
"CC027xCC045","139","8027x8045_139","45","Influenza","7_15vii","IgG1","Flu","HA","2016_12_14",8.06189666790579
"CC027xCC045","141","8027x8045_141","45","Influenza","7_15vii","IgG2ac","Flu","HA","2016_12_14",8.69777894178321
"CC027xCC045","141","8027x8045_141","45","Influenza","7_15vii","IgG2b","Flu","HA","2016_12_14",4.21010702907921
"CC027xCC045","141","8027x8045_141","45","Influenza","7_15vii","TotalG","Flu","HA","2016_12_14",9.12634735400512
"CC027xCC045","141","8027x8045_141","45","Influenza","7_15vii","IgG3","Flu","HA","2016_12_14",2.69451663416782
"CC027xCC045","141","8027x8045_141","45","Influenza","7_15vii","IgG1","Flu","HA","2016_12_14",6.44004082918375
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","IgG3","Flu","HA","2016_06_22",1.37755595087999
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","IgG2b","Flu","HA","2016_06_22",3.06747574935802
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","IgG1","Flu","HA","2016_06_22",0.39920501265174
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","IgG2ac","Flu","HA","2016_06_22",2.93076362388606
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","TotalG","Flu","HA","2016_06_22",4.61419787201849
"CC027xCC045","90","8027x8045_90","10","Influenza","5_15v","IgM","Flu","HA","2016_06_22",1.38880162432757
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","IgG2b","Flu","HA","2016_06_22",0.697380929793755
"CC027xCC045","91","8027x8045_91","10","Influenza","5_15v","IgG2ac","Flu","HA","2016_06_22",1.98008482237576
