"RIX","dam","sire","ID","day","virus","antigen_virus","antigen","cohort","assay_date","IgG1","IgG2ac","IgG2b","IgG3","IgM","TotalG"
"X3609x5119",3609,5119,52,15,"Influenza","Influenza","HA","11_13xi","2014_04_15",2.10786614666232,8.3359777376705,2.64638563009356,2.3799485286233,-0.597375102831497,NA
"X3609x5119",3609,5119,52,15,"Influenza","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,6.48794931420264
"X3609x5119",3609,5119,53,15,"Influenza","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,6.67203749678758
"X3609x5119",3609,5119,53,15,"Influenza","Influenza","HA","11_13xi","2014_04_15",1.42024862641597,9.90168008996788,2.72856782181099,2.03164890074655,-0.386865619115628,NA
"X3609x5119",3609,5119,54,15,"Influenza","Influenza","HA","11_13xi","2014_01_17",NA,NA,NA,NA,NA,5.97519120722616
"X3609x5119",3609,5119,54,15,"Influenza","Influenza","HA","11_13xi","2014_04_15",1.76876465242125,6.81603993312796,1.8726764563882,0.716937308238467,-0.329595860263701,NA
"X3609x5489",3609,5489,202,15,"Influenza","Influenza","HA","4_14iv","2015_05_06",1.76045161562467,9.89869008715643,2.78278286144515,2.79238543870091,-0.641908628573456,10.4069641840719
"X3609x5489",3609,5489,206,15,"Influenza","Influenza","HA","4_14iv","2015_05_06",1.91587877674139,9.690379781911,2.5911043620251,2.49058586489976,0.0719852423543937,10.0354612997036
"X3609x5489",3609,5489,207,15,"Influenza","Influenza","HA","4_14iv","2015_05_06",1.79387648944033,9.95054948228858,2.54109073378725,2.56359217600377,-0.645466564729688,10.4008628959162
"X4410x3460",4410,3460,104,15,"Influenza","Influenza","HA","4_15iv","2017_02_15",1.63553843444918,3.98660523696764,0.724802544637717,0.882314124057545,-2.02228472082921,2.66254483362176
"X4410x3460",4410,3460,105,15,"Influenza","Influenza","HA","4_15iv","2017_02_15",2.21294411925256,5.45804970630253,1.27202077520722,0.841111831077598,-1.06530277712215,4.88257591744396
"X4410x3460",4410,3460,110,15,"Influenza","Influenza","HA","4_15iv","2017_02_15",2.2433833200282,6.64405947947709,0.844392344767751,0.800644307939651,-2.09714148272108,4.99798440246285
"X477x16912",477,16912,107,15,"Influenza","Influenza","HA","7_14vii","2017_02_15",0.709744788337031,4.36477849375533,0.779310992571377,0.288006211247439,-1.52609887502917,3.5741874268021
